id,telefono
6751637,876.576.3807
3886305,498.967.3385
8466588,594.925.6434
4764212,595.581.6829
1011205,363.529.7326
4175666,113.453.9496
0381050,926.243.2353
8738843,916.449.3580
0515517,418.474.3748
8089538,803.599.0046
0045757,255.575.6332
5416004,781.814.5002
9692314,428.415.6180
9207207,852.188.3038
8882434,447.371.9062
9268234,744.732.7733
5151525,130.773.0039
8372459,324.707.7376
1182839,473.959.6863
8955940,736.981.0113
3641688,538.425.0916
9432140,838.254.5779
1276308,379.711.6079
5870004,328.954.5090
6761078,209.480.4375
3770188,311.538.1549
7855820,509.728.0085
2382747,922.522.7409
6845854,573.193.6864
9609284,529.154.4463
2166399,142.600.7197
3197387,535.791.9183
0544639,830.221.4117
8512651,987.384.5174
9957458,244.693.2635
1500486,847.388.5848
1131622,574.945.0975
6885856,789.347.6925
8692273,389.896.2200
4553059,945.191.4776
1564817,912.557.9248
3101705,862.231.5973
6224622,808.703.6075
8759044,886.630.2803
1683006,917.302.7696
3831825,590.416.0974
0462499,262.195.6755
1041236,910.963.8854
4971438,333.923.9882
8760104,816.729.2545
5285879,429.794.2101
2864939,614.259.5726
8948710,499.276.3938
4765508,781.114.4210
1158156,173.508.4922
0520200,960.164.7515
9162530,123.196.7106
5271996,822.309.9779
3225100,837.699.9450
6769067,404.914.3821
8741902,700.553.7229
8031951,800.204.1756
5032282,487.445.0807
0307434,542.415.4077
5041155,761.569.9747
7226361,615.609.1973
9461640,388.156.4333
9838750,739.169.6983
8736871,814.741.9281
7215127,393.385.8161
8384715,907.734.6408
7320091,508.244.3366
0943373,399.771.5046
2067463,757.510.2340
3436779,201.382.4312
4389091,430.113.3672
4299569,444.851.8668
5792683,580.289.1761
9650680,331.808.8448
2322617,287.876.4483
1141537,936.706.3620
1109518,663.839.0847
8731039,160.829.9546
4200520,306.438.5507
1615864,683.949.4745
5212268,368.574.5215
8599901,668.632.6624
9427723,493.693.0095
8786485,229.560.2444
0219347,549.753.6436
0472220,749.159.6288
2783727,667.740.5881
0129539,370.252.2593
8414816,633.901.0650
3123838,798.252.7043
5647318,340.767.2784
2306845,821.605.0501
9042021,191.398.8120
4182217,925.757.7132
4071553,135.311.1327
6751637,467.910.1351
3886305,629.430.4170
8466588,818.123.4312
4764212,343.282.6772
1011205,619.497.8563
4175666,558.157.5514
9797979,607.185.0513
9692314,498.120.6741
0515517,186.539.9153
8089538,417.212.5756
7898564,819.593.9867
1331331,187.383.1376
9692314,795.280.8374
9207207,588.574.6237
8882434,985.148.1895
9268234,951.684.5879
2166399,278.241.6938
8372459,160.768.8640
1182839,665.161.1182
8955940,304.526.7510
3641688,643.342.3310
9432140,177.422.2524
1276308,696.451.7409
5870004,201.505.1300
6761078,581.690.1572
3770188,102.226.3719
7855820,824.495.4071
2382747,556.365.2135
6845854,946.156.4010
9609284,845.874.4417
2166399,277.910.0931
0219347,945.483.8326
0472220,801.817.0276
2783727,292.544.2272
0129539,533.420.0941
1212465,250.882.8172
1122458,425.783.7594
4456571,955.867.7158
3549871,412.723.4031
5468968,938.317.6287
1111111,472.485.4854
3101705,499.784.9896
6224622,620.848.6625
8759044,977.833.9730
1683006,554.667.9269
3831825,968.322.6061
7215127,207.908.0340
1041236,723.154.0392
4971438,145.154.7203
8760104,147.944.3378
5285879,766.108.6175
2864939,564.276.2119
8948710,799.584.6739
4765508,453.636.2321
1158156,628.314.5442
5648971,155.727.7497
9162530,619.545.9397
2122222,676.450.4222
3225100,365.144.9455
6769067,576.618.1719
1122334,210.579.6450
8031951,586.107.0311
5032282,170.734.0670
9692314,809.648.5840
5555555,855.744.0550
7226361,425.502.1590
9461640,246.816.1796
9838750,629.589.7253
9999999,664.947.6351
7215127,952.796.0179
8384715,503.852.8515
7320091,932.986.9843
0943373,898.334.5966
2067463,208.875.9490
7215127,118.705.4437
